,Participant,protocol,device,D,ID,W,MT,xT,yT,x_end,y_end,x0,y0
26,955152,pvp,mouse,114.0,6.438197784198078,1.33,1.4878208637237549,89.775,89.395,89.965,89.87,197.885,127.395
27,955152,pvp,mouse,114.0,6.438197784198078,1.33,1.8798153400421143,186.29500000000002,28.785,186.29500000000002,28.88,89.965,89.87
28,955152,pvp,mouse,114.0,6.438197784198078,1.33,1.7593669891357422,247.95000000000002,124.64,248.235,124.64,186.29500000000002,28.88
29,955152,pvp,mouse,114.0,6.438197784198078,1.33,1.6254870891571045,134.615,111.53,134.52,111.91,248.235,124.64
30,955152,pvp,mouse,114.0,6.438197784198078,1.33,1.4311861991882324,178.885,6.46,178.98,6.46,134.52,111.91
31,955152,pvp,mouse,114.0,6.438197784198078,1.33,1.9289109706878662,255.55,90.82000000000001,255.455,90.535,178.98,6.46
32,955152,pvp,mouse,114.0,6.438197784198078,1.33,1.4870202541351318,154.09,142.785,153.805,143.07,255.55,90.535
33,955152,pvp,mouse,114.0,6.438197784198078,1.33,1.5693461894989014,42.655,118.56,42.655,118.56,153.805,143.07
34,955152,pvp,mouse,114.0,6.438197784198078,1.33,1.2705891132354736,112.005,28.12,111.91,27.835,42.655,118.56
35,955152,pvp,mouse,114.0,6.438197784198078,1.33,1.7210311889648438,224.77,11.495000000000001,224.675,11.875,111.91,27.835
36,955152,pvp,mouse,114.0,6.438197784198078,1.33,1.7613487243652344,228.38,125.4,228.095,125.875,224.675,11.875
37,955152,pvp,mouse,114.0,6.438197784198078,1.33,1.9602437019348145,114.475,131.955,113.905,131.955,228.095,125.875
38,955152,pvp,mouse,114.0,6.438197784198078,1.33,2.159672975540161,227.145,115.045,226.86,115.235,113.905,131.955
39,955152,pvp,mouse,114.0,6.438197784198078,1.33,1.5677073001861572,118.08500000000001,148.29500000000002,117.895,147.82,226.86,115.235
40,955152,pvp,mouse,114.0,6.438197784198078,1.33,1.3128621578216553,5.89,127.58500000000001,6.175,127.58500000000001,117.895,147.82
41,955152,pvp,mouse,114.0,6.438197784198078,1.33,1.330286979675293,116.09,98.42,115.615,98.61,6.175,127.58500000000001
42,955152,pvp,mouse,38.0,4.8861320354417215,1.33,1.573847770690918,129.96,86.64,130.15,86.355,119.13,95.475
43,955152,pvp,mouse,38.0,4.8861320354417215,1.33,1.3704209327697754,122.645,49.305,122.93,49.4,130.15,86.355
44,955152,pvp,mouse,38.0,4.8861320354417215,1.33,1.15848708152771,138.605,14.82,138.795,14.44,122.93,49.4
45,955152,pvp,mouse,38.0,4.8861320354417215,1.33,2.6084110736846924,122.74,49.305,122.265,49.59,138.795,14.44
46,955152,pvp,mouse,38.0,4.8861320354417215,1.33,1.457399845123291,91.39,27.740000000000002,91.2,28.025,122.265,49.59
47,955152,pvp,mouse,38.0,4.8861320354417215,1.33,2.5066325664520264,129.105,23.75,128.915,23.845,91.2,28.025
