,Participant,protocol,device,D,ID,W,MT,xT,yT,x_end,y_end,x0,y0
499,830891,pvp,mouse,19.0,3.9341120643435428,1.33,1.5368022918701172,85.215,61.75,85.31,61.18,77.805,79.325
500,830891,pvp,mouse,110.2,6.389861771052448,1.33,1.7989482879638672,228.76,37.81,229.04500000000002,38.19,129.96,86.545
501,830891,pvp,mouse,110.2,6.389861771052448,1.33,1.671570062637329,122.17,9.5,122.55,9.025,229.04500000000002,38.19
502,830891,pvp,mouse,110.2,6.389861771052448,1.33,1.4742329120635986,231.23,24.89,231.135,24.7,122.55,9.025
503,830891,pvp,mouse,110.2,6.389861771052448,1.33,1.2064151763916016,221.73,134.615,222.01500000000001,134.235,231.135,24.7
504,830891,pvp,mouse,110.2,6.389861771052448,1.33,1.5891838073730469,111.53,132.145,111.72,131.86,222.01500000000001,134.235
505,830891,pvp,mouse,110.2,6.389861771052448,1.33,1.4400992393493652,146.3,27.55,146.585,27.265,111.72,131.86
506,830891,pvp,mouse,110.2,6.389861771052448,1.33,1.2393512725830078,237.595,89.11,238.07,89.395,146.585,27.265
507,830891,pvp,mouse,110.2,6.389861771052448,1.33,1.3851737976074219,132.43,122.075,131.86,121.885,238.07,89.395
508,830891,pvp,mouse,110.2,6.389861771052448,1.33,2.024160623550415,23.655,140.03,23.56,140.22,131.86,121.885
509,830891,pvp,mouse,110.2,6.389861771052448,1.33,1.1435565948486328,19.0,29.925,18.62,30.21,23.56,140.22
510,830891,pvp,mouse,110.2,6.389861771052448,1.33,1.4252922534942627,129.105,28.595,129.58,28.215,18.62,30.21
511,830891,pvp,mouse,110.2,6.389861771052448,1.33,1.9436023235321045,234.84,59.28,235.03,59.660000000000004,129.58,28.215
512,830891,pvp,mouse,110.2,6.389861771052448,1.33,2.264237880706787,131.955,98.895,132.05,98.8,235.03,59.660000000000004
513,830891,pvp,mouse,110.2,6.389861771052448,1.33,1.7918996810913086,39.045,158.175,39.14,158.555,132.05,98.8
514,830891,pvp,mouse,110.2,6.389861771052448,1.33,1.264967441558838,51.965,48.735,51.585,48.64,39.14,158.555
515,830891,pvp,mouse,110.2,6.389861771052448,1.33,1.3758862018585205,97.755,148.865,97.565,149.055,51.585,48.64
516,830891,pvp,mouse,110.2,6.389861771052448,1.33,1.160344123840332,21.755,68.97,21.47,68.685,97.565,149.055
517,830891,pvp,mouse,110.2,6.389861771052448,1.33,1.7748048305511475,125.78,32.775,125.495,32.965,21.47,68.685
518,830891,pvp,mouse,110.2,6.389861771052448,1.33,1.393322467803955,29.545,86.545,29.925,86.735,125.495,32.965
519,830891,pvp,mouse,110.2,6.389861771052448,1.33,2.743922472000122,118.465,21.47,118.18,21.565,29.925,86.735
520,830891,pvp,mouse,87.4,6.0599238176520585,1.33,1.8720977306365967,80.08500000000001,158.365,80.275,158.365,129.58,86.83
521,830891,pvp,mouse,87.4,6.0599238176520585,1.33,1.2316358089447021,8.455,108.11,8.265,108.015,80.275,158.365
522,830891,pvp,mouse,87.4,6.0599238176520585,1.33,1.5853636264801025,10.925,20.71,10.83,20.615000000000002,8.265,108.015
523,830891,pvp,mouse,87.4,6.0599238176520585,1.33,1.1445014476776123,94.05,47.5,94.43,47.405,10.83,20.615000000000002
524,830891,pvp,mouse,87.4,6.0599238176520585,1.33,1.3515675067901611,180.975,56.24,181.26,56.335,94.43,47.405
