,Participant,protocol,device,D,ID,W,tau,Dtau,sigma0,omega,C,rsq,pvptype
349,642382.0,pvp,touchpad,87.4,6.0599238176520585,1.33,0.4,27.342829307631064,36.033728784249135,1.405047164050945,7.805713372956147,0.9630922179076062,Project
350,642382.0,pvp,touchpad,133.0,6.658211482751796,1.33,0.36,80.74438964476039,54.05276434462174,1.5764271357868345,6.517136578599855,0.9802758356331128,Project
351,642382.0,pvp,touchpad,64.6,5.631436930520657,1.33,0.35,40.38058830061851,24.056150795502496,1.2472714518044288,7.655919955895276,0.9725386875415978,Project
352,642382.0,pvp,touchpad,41.8,5.01919356523331,1.33,0.36,26.642669070725447,14.363084550585471,1.125874037943575,7.020228380793978,0.9625228757255412,Project
353,642382.0,pvp,touchpad,110.2,6.389861771052448,1.33,0.37,71.44827948338386,30.6870983772386,1.632917198698581,6.287886643990938,0.9933721647015432,Project
354,642382.0,pvp,mouse,133.0,6.658211482751796,1.33,0.3,74.26631351955862,24.77892165605171,1.3352956581925015,5.369848389612085,0.982380888904206,Project
355,642382.0,pvp,mouse,64.6,5.631436930520657,1.33,0.35,16.43652431461218,12.133558702588092,1.2017077254168722,6.549436705392519,0.9910005757148772,Project
356,642382.0,pvp,mouse,41.8,5.01919356523331,1.33,0.32,18.214663571547536,7.701368568622712,1.233587904713352,5.493624105053028,0.9632208250317076,Project
357,642382.0,pvp,mouse,87.4,6.0599238176520585,1.33,0.34,32.94488765855355,16.502854039361388,1.245562799948608,6.203179355175923,0.9779242556302896,Project
358,642382.0,pvp,mouse,110.2,6.389861771052448,1.33,0.32,54.428289721215535,22.057499584573684,1.3534197287346033,5.688432998466377,0.9901110434449232,Project
359,642382.0,pvp,mouse,19.0,3.934112064343543,1.33,0.34,8.445484682836412,6.859637102514406,1.326324551315712,5.131143619974031,0.9675699261609156,Project
360,642382.0,fitts,mouse,41.8,2.938599455335857,6.2700000000000005,0.26,15.10853918683423,8.558597460976923,0.7679555788143555,6.520801262209635,0.9512565231015616,Centroid
361,642382.0,fitts,mouse,110.2,3.7958592832197744,8.55,0.2,75.54773177907003,19.08484779744472,0.806561636475764,4.462670098242502,0.9926853744863664,Centroid
362,642382.0,fitts,mouse,64.6,5.27715822476734,1.71,0.25,18.18820990095857,14.341672779094887,1.0371247532950372,5.7997606859563895,0.9791658483262082,Centroid
363,642382.0,fitts,mouse,133.0,6.658211482751796,1.33,0.24,74.86718175443627,25.107160454847445,1.0554774608525563,6.138469500902184,0.99081977155911,Centroid
364,642382.0,fitts,mouse,87.4,4.655954332292595,3.61,0.24,33.24399832914852,16.67882413584585,0.8315315895862582,6.505424381648163,0.9959905926549424,Centroid
365,642382.0,fitts,mouse,19.0,1.3856536924977498,11.78,0.23,7.270206185141123,6.161362137134031,0.4345365903356457,3.363298468226005,0.9035925575745042,Centroid
366,642382.0,fitts,touchpad,87.4,4.655954332292595,3.61,0.34,48.674201700039,22.585817947249357,1.0834555404230064,5.330652982155974,0.9883740965750784,Centroid
367,642382.0,fitts,touchpad,19.0,1.3856536924977498,11.78,0.29,5.859362571073699,4.8079289861773455,0.5056382419537849,5.073967176876529,0.8952401510395696,Centroid
368,642382.0,fitts,touchpad,110.2,3.7958592832197744,8.55,0.31,61.21525256970228,28.007538536312023,0.995302311039758,6.178692252367532,0.9480861893514292,Centroid
369,642382.0,fitts,touchpad,133.0,6.658211482751796,1.33,0.34,90.57503476911263,45.571859467482696,1.3287792331279833,6.535403578518007,0.9842296873708036,Centroid
370,642382.0,fitts,touchpad,64.6,5.27715822476734,1.71,0.34,30.34539183555104,19.69160699554461,1.2303219572550612,5.643404890648508,0.9612384543942524,Centroid
371,642382.0,fitts,touchpad,41.8,2.938599455335857,6.2700000000000005,0.32,16.985777379523633,10.748803824976568,1.0266514438504202,3.2303597337547654,0.8369991397505618,Centroid
372,642382.0,pvp,controller,87.4,6.0599238176520585,1.33,0.67,30.401027029142345,20.0134251328931,3.380963897894694,2.124526449853203,0.9922160664821476,Centroid
373,642382.0,pvp,controller,110.2,6.389861771052448,1.33,0.6,49.078483908029305,17.965361448457735,3.29400548386846,1.8290927229498355,0.9762104541870404,Centroid
374,642382.0,pvp,controller,19.0,3.934112064343543,1.33,0.55,-2.352976015591762,10.922227601637086,2.7527070810413523,1.5945568159609305,0.9461271169437055,Centroid
375,642382.0,pvp,controller,133.0,6.658211482751796,1.33,1.03,12.662544375718802,16.00008924108228,3.907003380848262,1.5357986027448818,0.894556796206665,Centroid
376,642382.0,pvp,controller,64.6,5.631436930520657,1.33,0.62,10.26147125334549,15.707085627850685,3.184882471186905,1.7787045672507693,0.920241403716466,Centroid
377,642382.0,pvp,controller,41.8,5.01919356523331,1.33,0.63,1.7777357365719562,13.596129194028869,3.356735180041425,1.5247305877761763,0.9140362144770172,Centroid
378,642382.0,fitts,controller,110.2,3.7958592832197744,8.55,0.67,33.38057773485593,21.68856875153617,1.6378263495170642,2.7705715304709964,0.9706928762012542,Centroid
379,642382.0,fitts,controller,19.0,1.3856536924977498,11.78,0.32,3.068317542082701,10.7438832474401,1.054939309147491,2.064095475910913,0.9486011404176656,Centroid
380,642382.0,fitts,controller,64.6,5.27715822476734,1.71,0.52,19.35546269031525,15.558038825434082,2.454969993866112,1.853696896674633,0.8323328717958173,Centroid
381,642382.0,fitts,controller,41.8,2.938599455335857,6.2700000000000005,0.34,23.314260225883874,11.77229561781282,1.8024417454980597,1.986712334960347,0.9696062592277672,Centroid
